Title,Tv,Runtime,Date,isMovie,Genre
Selling Sunset: Season 1: Loose Lips Sink Relationships,Selling Sunset,32,5/2/20,False,
Selling Sunset: Season 1: (Real) Diamonds Are a Girl's Best Friend,Selling Sunset,32,5/2/20,False,
Selling Sunset: Season 1: Can't Have Your Cake and Eat It Too,Selling Sunset,32,5/2/20,False,
Selling Sunset: Season 1: If Looks Could Sell,Selling Sunset,32,5/2/20,False,
Conspiracy: Season 1: The Lockerbie Plot,Conspiracy,45,5/2/20,False,
"Conspiracy: Season 1: Drugs, Pop, Punk and Death",Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: Pearl Harbour Cover Up,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: Faking the Moon Landings,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: Murder at the Vatican,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: Assassinations,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: Aliens,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: The Hollywood Files,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: Disappearances,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: The Cold War,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: The Royal Family,Conspiracy,45,5/2/20,False,
Conspiracy: Season 1: Nazis,Conspiracy,45,5/2/20,False,
Community: Season 1: Basic Genealogy,Community,22,5/1/20,False,
Community: Season 1: Beginner Pottery,Community,22,5/1/20,False,
Murder to Mercy: The Cyntoia Brown Story,,96,5/1/20,True,Documentary
Community: Season 1: Physical Education,Community,22,5/1/20,False,
Community: Season 1: Communication Studies,Community,22,5/1/20,False,
Community: Season 1: Romantic Expressionism,Community,22,5/1/20,False,
Community: Season 1: Interpretive Dance,Community,22,5/1/20,False,
Community: Season 1: Investigative Journalism,Community,22,5/1/20,False,
Community: Season 1: Comparative Religion,Community,22,5/1/20,False,
Community: Season 1: The Politics of Human Sexuality,Community,22,5/1/20,False,
Community: Season 1: Environmental Science,Community,22,5/1/20,False,
Community: Season 1: Debate 109,Community,22,5/1/20,False,
Community: Season 1: Home Economics,Community,22,5/1/20,False,
The Half Of It,,104,5/1/20,True,"Comedy,Romance"
Evil Genius: the True Story of America's Most Diabolical Bank Heist: Season 1: Part 4: The Confessions,Evil Genius,45,4/30/20,False,"Crime,Documentary"
Evil Genius: the True Story of America's Most Diabolical Bank Heist: Season 1: Part 3: The Suspects,Evil Genius,45,4/30/20,False,
Evil Genius: the True Story of America's Most Diabolical Bank Heist: Season 1: Part 2: The Frozen Body,Evil Genius,45,4/30/20,False,
Evil Genius: the True Story of America's Most Diabolical Bank Heist: Season 1: Part 1: The Heist,Evil Genius,45,4/30/20,False,
Riverdale: Season 4: Chapter Seventy-Five: Lynchian,Riverdale,45,4/30/20,False,
Dangerous Lies,,96,4/30/20,True,Thriller
Summertime: Season 1: Another Winter,Summertime,37,4/30/20,False,"Drama,Comedy"
Summertime: Season 1: Don't You Cry,Summertime,37,4/30/20,False,
Summertime: Season 1: Those Who Remain,Summertime,37,4/30/20,False,
Summertime: Season 1: Without You,Summertime,37,4/29/20,False,
Summertime: Season 1: A Glimpse of Peace,Summertime,37,4/29/20,False,
Summertime: Season 1: A Moment at Night,Summertime,37,4/29/20,False,
Summertime: Season 1: Just You & I,Summertime,37,4/29/20,False,
Summertime: Season 1: I Hate Summer,Summertime,37,4/29/20,False,
Ozark: Season 3: All In,Ozark,68,4/29/20,False,"Crime,Drama"
Ozark: Season 3: Fire Pink,Ozark,68,4/29/20,False,
Ozark: Season 3: BFF,Ozark,68,4/29/20,False,
Ozark: Season 3: In Case of Emergency,Ozark,68,4/29/20,False,
Ozark: Season 3: Su Casa Es Mi Casa,Ozark,68,4/29/20,False,
Ozark: Season 3: It Came From Michoacán,Ozark,68,4/29/20,False,
Ozark: Season 3: Boss Fight,Ozark,68,4/29/20,False,
Ozark: Season 3: Kevin Cronin Was Here,Ozark,68,4/29/20,False,
Ozark: Season 3: Civil Union,Ozark,68,4/29/20,False,
Ozark: Season 3: Wartime,Ozark,68,4/29/20,False,
Ozark: Season 2: The Gold Coast,Ozark,68,4/28/20,False,
Ozark: Season 2: The Badger,Ozark,68,4/28/20,False,
Ozark: Season 2: The Big Sleep,Ozark,68,4/28/20,False,
Ozark: Season 2: One Way Out,Ozark,68,4/28/20,False,
Ozark: Season 2: Outer Darkness,Ozark,68,4/28/20,False,
Making a Murderer: Part 1: Eighteen Years Lost,Making a Murderer,60,4/28/20,False,"Documentary,Crime"
Ozark: Season 2: Game Day,Ozark,68,4/28/20,False,
Ozark: Season 2: Stag,Ozark,68,4/28/20,False,
Ozark: Season 2: Once a Langmore...,Ozark,68,4/28/20,False,
Ozark: Season 2: The Precious Blood of Jesus,Ozark,68,4/28/20,False,
Ozark: Season 2: Reparations,Ozark,68,4/27/20,False,
Ozark: Season 1: The Toll,Ozark,68,4/27/20,False,
The Last Dance: Season 1: Episode IV,The Last Dance,60,4/27/20,False,
The Last Dance: Season 1: Episode III,The Last Dance,60,4/27/20,False,
Love 101: Season 1: A Special Moment,Love 101,41,4/27/20,False,Comedy
Love 101: Season 1: A Turn,Love 101,41,4/27/20,False,
Love 101: Season 1: Fun,Love 101,41,4/27/20,False,
Love 101: Season 1: Affection,Love 101,41,4/27/20,False,
Love 101: Season 1: Longing,Love 101,41,4/27/20,False,
Love 101: Season 1: Lust,Love 101,41,4/27/20,False,
Love 101: Season 1: Admiration,Love 101,41,4/27/20,False,
Love 101: Season 1: The First Moment,Love 101,41,4/27/20,False,
Never Have I Ever: Season 1: ... said I'm sorry,Never Have I Ever,27,4/27/20,False,Comedy
Never Have I Ever: Season 1: ... had to be on my best behavior,Never Have I Ever,27,4/27/20,False,
Never Have I Ever: Season 1: ... pissed off everyone I know,Never Have I Ever,27,4/27/20,False,
"Never Have I Ever: Season 1: ... been a big, fat liar",Never Have I Ever,27,4/27/20,False,
Never Have I Ever: Season 1: ... been the loneliest boy in the world,Never Have I Ever,27,4/27/20,False,
Never Have I Ever: Season 1: ... started a nuclear war,Never Have I Ever,27,4/27/20,False,
Never Have I Ever: Season 1: ... felt super Indian,Never Have I Ever,27,4/27/20,False,
Never Have I Ever: Season 1: ... gotten drunk with the popular kids,Never Have I Ever,27,4/27/20,False,
Never Have I Ever: Season 1: ... had sex with Paxton Hall-Yoshida,Never Have I Ever,27,4/27/20,False,
Never Have I Ever: Season 1: Pilot,Never Have I Ever,27,4/27/20,False,
"Ozark: Season 1: Coffee, Black",Ozark,68,4/26/20,False,
Ozark: Season 1: Kaleidoscope,Ozark,68,4/26/20,False,
Ozark: Season 1: Nest Box,Ozark,68,4/26/20,False,
Ozark: Season 1: Book of Ruth,Ozark,68,4/26/20,False,
Ozark: Season 1: Ruling Days,Ozark,68,4/26/20,False,
Ozark: Season 1: Tonight We Improvise,Ozark,68,4/26/20,False,
